,2192,2124,2208
1,0.10363974,8.717063,0.51034504
2,9.4182625,1.5009532,7.1989269
3,8.1089954,1.711308,5.5988197
4,8.1478329,2.05937,5.4409094
5,9.4686737,2.5967331,6.996736
6,3.0975664,0.030609874,4.4148369
7,10.386971,1.6973054,8.0054674
8,3.2008076,0.55450648,6.8725958
9,4.4243155,46.939049,5.2304811
10,2.1855521,45.914429,2.5508926
11,0,2.665076,0.013960592
12,0.3628189,3.536499,0.71913832
13,2.9740999,1.2424492,5.6901054
14,3.2794681,0.92384863,5.8775864
15,2.8997781,0.52770853,5.2167969
16,7.849781,0.82600445,6.5229106
17,8.778182,1.6595,12.10312
18,0.038238682,0.70130646,2.1012909
19,3.9182031,0.56525826,6.0832095
20,-0.011070168,4.3789644,1.2346686
21,3.5308061,0.097519018,5.2675114
22,4.3227801,0.59931755,6.8829002
23,11.594149,1.8884373,12.857979
24,8.4456835,0.006344376,8.2240353
25,4.230165,0.53789133,7.2238126
26,7.427494,2.2090385,5.813272
27,8.0037832,0.80536062,6.6845131
28,5.7925758,41.305588,4.7365227
29,27.636015,95.991051,38.854698
30,21.163885,29.222923,5.3314447
31,7.3911686,3.28,5.2034636
32,0.2120751,0.20119861,2.3898442
33,7.7467122,0.08192195,6.7247572
34,8.8686285,2.0581105,6.3575048
35,2.6793389,0.059793275,4.4310937
36,1.2329199,6.6282325,1.5336934
37,0.77890313,0.92390132,3.3865058
38,7.5489254,3.2141631,5.5140147
39,16.401571,32.361938,1.4346395
40,1.6943254,9.0204821,1.0496179
41,3.7528286,0.75642049,7.9808998
42,4.3942652,48.039761,6.4357224
43,0.86535597,49.14212,6.55516
44,9.0349588,3.0642619,5.441721
45,1.4046867,4.5505638,4.0348454
46,0,0.13854182,1.1351963
47,11.513151,0,12.52745
48,8.2223215,0,10.73236
49,13.419237,3.2660999,10.113416
50,7.1922779,8.3005419,4.5851331
51,5.9024258,42.069672,3.1474612
52,11.580791,2.1423106,9.0139484
53,4.0340071,4.1584411,3.8775227
54,4.3368568,4.9427128,1.3528891
55,2.5062554,1.254943,5.2036314
56,0.068606183,48.610119,6.02074
57,2.0482457,7.1458402,0.94002706
58,5.7414303,49.479843,5.3444715
59,4.0904584,26.099989,1.2734768
60,0,1.7064772,0
61,50.160942,37.839382,46.012814
62,8.8108158,4.2697268,3.8741412
63,11.89569,4.6406603,8.4498739
64,4.8742328,26.208481,1.6689618
65,3.6582665,5.2138081,1.0511386
66,45.721039,24.756657,29.666008
67,5.9901714,-0.00356263,8.6619253
68,1.2071869,4.0520372,4.9354701
69,11.202171,1.6366792,8.9416676
70,6.5329719,0,9.3110495
71,11.257886,1.9811094,8.926877
72,10.001451,4.4202428,6.6779046
73,7.8330402,5.9739041,4.4698181
74,5.0397587,5.4346786,4.0059485
75,-0.14107983,8.3532085,-0.2272528
76,10.403427,1.0023127,9.2191286
77,44.111023,27.122831,26.979115
78,11.467564,0.083804697,11.126823
79,11.03506,1.1665595,9.0647182
80,1.8919363,0.25548324,4.8233814
81,7.6412106,45.334797,4.6033921
82,8.4476423,0,11.275257
83,1.2821218,13.2676,0.43089199
84,8.3025818,0.58272296,9.6358566
85,10.196106,2.7357199,6.7228003
86,11.928721,2.0846581,8.5046911
87,8.5320883,2.8488305,3.8659546
88,7.4501686,3.9922876,4.2232609
89,9.223115,0,10.571706
90,4.411562,0.07778541,7.2614346
91,9.4036627,5.2026691,6.398345
92,4.1858287,0.20191798,6.7744966
93,9.4222393,4.2456646,5.9457612
94,35.11956,25.083591,16.060286
95,5.8642001,43.623291,4.8482351
96,6.1722326,47.478336,5.7857537
97,-0.017203627,3.1438634,1.6189615
98,7.2505412,41.437435,3.7993107
99,0,6.8324227,0.74042195
100,4.177712,1.1603141,7.0045929
101,-0.12611526,6.0334668,1.1515998
102,7.3354139,4.5124154,5.1051354
103,8.112072,45.547897,4.1981502
104,2.4828522,0.025581684,3.2162113
105,42.928658,17.984636,21.63814
106,4.5669899,7.1726122,2.468776
107,0.65557569,50.647449,4.2178345
108,2.1356914,2.2718968,2.3972313
109,3.6105199,53.225296,7.1748147
110,5.9438195,37.7006,3.6030645
111,5.5391231,1.2146784,7.9549408
112,4.3621178,3.361012,5.8856959
113,3.8950326,53.735329,8.2611027
114,4.2222967,0.86534935,6.7478786
115,1.8746459,2.8386273,-0.006350277
116,4.9435,48.099442,4.6266828
117,46.953259,21.158281,31.550798
118,2.1412015,0.55766159,4.094326
119,0.31144947,-1.0783114,3.6418073
120,1.6339121,53.435699,6.3545012
121,2.6998508,52.907337,5.6223555
122,0.24049065,51.110001,3.5176549
123,0,52.245731,4.0218515
124,43.516224,20.841454,24.059435
125,2.6107812,7.2549701,4.803268
126,3.7983873,26.371679,2.1165845
127,6.4282141,35.560532,3.9353092
128,3.2211349,4.1893625,0.019127503
129,3.3231521,0.76060498,3.8967116
130,2.8383572,50.973064,6.1861668
131,3.4472659,0.21805146,6.5188303
132,5.9862533,46.647041,3.2567263
