,1082,1084,1086,1088,1090,1092,1094,1096,1098,1100,1102,1104,1106,1108,1110,1112,1114,1116,1118,1120,1122,1124,1126,1128,1130,1238,1240,1242,1244,1246,1248,1250,1252,1254,1256,1258,1260,1262,1264,1266
100,-0.173666,0,-0.15375938,0,-0.12565272,0,-0.086329475,0,-0.043290317,0.006431812,0.048516225,0.074883997,0.074849591,0.038919821,0.003872824,0,-0.025981054,0,-0.014866143,0.031973921,0.11019202,0.20759284,0.29536462,0.3768363,0.41550136,0.789195,0.84670061,0.87821954,0.89637882,0.85937828,0.80051404,0.73009014,0.65752941,0.64109713,0.64138275,0.66245383,0.68771946,0.70224619,0.71470332,0.72566074
101,-0.13770923,0,-0.028629197,0.089049809,0.20939726,0.30804276,0.32665586,0.32200822,0.2781812,0.26269484,0.30846301,0.3877762,0.50653344,0.60280496,0.66910356,0.70514715,0.71721882,0.72117031,0.72123677,0.67958415,0.61540771,0.50452542,0.37481716,0.31697685,0.28259081,0.58982313,0.63588691,0.66842401,0.64748263,0.60833776,0.56307155,0.51718169,0.48776415,0.46460623,0.45800769,0.45150107,0.42995167,0.39431,0.32931694,0.2645779
102,0.067230172,0.039278869,0.00248791,0.003442139,0.010319075,0.044798572,0.079383902,0.099724598,0.12339472,0.16440457,0.21432346,0.28259671,0.33788079,0.36492401,0.36592925,0.33343697,0.30006394,0.26962939,0.25608283,0.25722012,0.2432611,0.21780179,0.15445992,0.0710904,0,0,-0.02103984,0,-0.2201287,0,-0.41830274,0,-0.56033593,0,-0.65660912,0,-0.66204011,0,-0.6514532,0
103,-0.75990754,0,-0.78137213,0,-0.7538684,0,-0.62585747,0,-0.52203274,0,-0.48341298,0,-0.52341431,0,-0.66759837,0,-0.82496744,0,-0.98502541,0,-1.0733392,0,-1.0979457,0,-1.046322,-0.92509758,0,-0.9898535,0,-1.0275862,0,-1.0501511,0,-1.042644,0,-1.0204371,0,-0.97774315,0,-0.92726427
104,0.47609925,0.49603096,0.51316547,0.52983105,0.58131683,0.64082181,0.70858014,0.77707797,0.81101084,0.8386988,0.83163851,0.82070994,0.80664563,0.788185,0.7549383,0.71754134,0.67326534,0.65155554,0.67392403,0.71422517,0.77393138,0.81668288,0.8380903,0.84420037,0.83879763,0.053058095,0,-0.040423676,0,-0.048314676,0,-0.023936849,0.015046014,0.053253558,0.090191297,0.1754069,0.28631914,0.39852178,0.50909001,0.50478721
105,-0.49646613,0,-0.60731685,0,-0.71674925,0,-0.822541,0,-0.8790707,0,-0.90736365,0,-0.87635309,0,-0.82018465,0,-0.75886893,0,-0.69640088,0,-0.66752321,0,-0.64637965,0,-0.61550647,-1.1009436,0,-1.1275584,0,-1.1408832,0,-1.1461469,0,-1.0405606,0,-0.92037171,0,-0.80941141,0,-0.72760856
106,-6,0.004286322,0.015217853,0.03748922,0.027779901,0,-0.044817299,0,-0.13867916,0,-0.25392887,0,-0.33197248,0,-0.36555746,0,-0.34333429,0,-0.27587643,0,-0.1936705,0,-0.10446947,0,-0.061960362,-0.2474914,0,-0.15670015,0,-0.061777532,0.032571457,0.080212861,0.10851386,0.1067848,0.096062548,0.10662564,0.12233622,0.11675731,0.099133313,0
107,-0.36082578,0,-0.33265713,0,-0.3028203,0,-0.30568123,0,-0.31516439,0,-0.34489712,0,-0.35805979,0,-0.30364406,0,-0.24127077,0,-0.17572755,0,-0.13830185,0,-0.154791,0,-0.17569926,-1.336422,0,-1.5199903,0,-1.6368428,0,-1.6671462,0,-1.6449257,0,-1.5814264,0,-1.552128,0,-1.555685
108,0.33035168,0.15487543,0,-0.00144241,0,-0.14842533,0,-0.14245012,0,-0.088023685,0.005969263,0.10843257,0.12815826,0.13669634,0.18302892,0.23645929,0.3011902,0.35318038,0.3404634,0.31559011,0.28275242,0.25524703,0.24251331,0.2313062,0.21921109,-0.5278191,0,-0.4343712,0,-0.32193214,0,-0.19649172,0,-0.10242404,0,-0.040413253,0,-0.024449781,0,-0.03788019
